accuracy	lr	epochs	modeDim	modelName
0.7246	0.0001	60	156	0.7246_lr0.0001_e60_d156
0.7248	0.0001	70	156	0.7248_lr0.0001_e70_d156
0.7254	0.001	5	26	0.7254_lr0.001_e5_d26
0.7276	0.001	10	52	0.7276_lr0.001_e10_d52
0.728	0.0001	70	130	0.728_lr0.0001_e70_d130
0.7294	0.0001	50	156	0.7294_lr0.0001_e50_d156
0.7296	0.01	10	78	0.7296_lr0.01_e10_d78
0.731	0.01	5	130	0.731_lr0.01_e5_d130
0.733	0.001	40	26	0.733_lr0.001_e40_d26
0.733	0.0001	60	182	0.733_lr0.0001_e60_d182
0.733	0.0001	70	182	0.733_lr0.0001_e70_d182
0.7332	0.0001	80	182	0.7332_lr0.0001_e80_d182
0.7338	0.001	20	52	0.7338_lr0.001_e20_d52
0.7346	0.001	5	104	0.7346_lr0.001_e5_d104
0.7354	0.001	30	26	0.7354_lr0.001_e30_d26
0.7358	0.01	10	156	0.7358_lr0.01_e10_d156
0.7366	0.001	5	52	0.7366_lr0.001_e5_d52
0.7366	0.001	10	78	0.7366_lr0.001_e10_d78
0.7368	0.001	10	26	0.7368_lr0.001_e10_d26
0.7372	0.001	5	182	0.7372_lr0.001_e5_d182
0.7382	0.01	20	52	0.7382_lr0.01_e20_d52
0.7382	0.001	80	26	0.7382_lr0.001_e80_d26
0.7382	0.001	20	130	0.7382_lr0.001_e20_d130
0.739	0.01	10	26	0.739_lr0.01_e10_d26
0.739	0.001	10	104	0.739_lr0.001_e10_d104
0.7394	0.001	20	26	0.7394_lr0.001_e20_d26
0.7404	0.01	5	182	0.7404_lr0.01_e5_d182
0.7408	0.001	10	130	0.7408_lr0.001_e10_d130
0.741	0.001	60	26	0.741_lr0.001_e60_d26
0.741	0.001	40	52	0.741_lr0.001_e40_d52
0.741	0.001	10	182	0.741_lr0.001_e10_d182
0.7422	0.001	5	130	0.7422_lr0.001_e5_d130
0.7428	0.001	50	52	0.7428_lr0.001_e50_d52
0.7438	0.001	5	156	0.7438_lr0.001_e5_d156
0.744	0.001	5	78	0.744_lr0.001_e5_d78
0.7444	0.001	30	130	0.7444_lr0.001_e30_d130
0.745	0.001	50	26	0.745_lr0.001_e50_d26
0.745	0.001	70	26	0.745_lr0.001_e70_d26
0.7454	0.01	40	130	0.7454_lr0.01_e40_d130
0.7456	0.01	10	130	0.7456_lr0.01_e10_d130
0.7458	0.01	20	182	0.7458_lr0.01_e20_d182
0.7462	0.01	50	182	0.7462_lr0.01_e50_d182
0.7462	0.001	20	104	0.7462_lr0.001_e20_d104
0.7464	0.01	10	182	0.7464_lr0.01_e10_d182
0.7472	0.01	40	182	0.7472_lr0.01_e40_d182
0.7474	0.001	30	52	0.7474_lr0.001_e30_d52
0.7476	0.01	60	26	0.7476_lr0.01_e60_d26
0.7482	0.01	30	52	0.7482_lr0.01_e30_d52
0.7488	0.001	60	52	0.7488_lr0.001_e60_d52
0.749	0.01	30	26	0.749_lr0.01_e30_d26
0.749	0.01	70	130	0.749_lr0.01_e70_d130
0.7492	0.01	5	78	0.7492_lr0.01_e5_d78
0.7494	0.01	50	26	0.7494_lr0.01_e50_d26
0.7496	0.01	30	156	0.7496_lr0.01_e30_d156
0.7496	0.01	30	182	0.7496_lr0.01_e30_d182
0.7496	0.001	80	52	0.7496_lr0.001_e80_d52
0.7496	0.001	50	78	0.7496_lr0.001_e50_d78
0.7498	0.001	30	104	0.7498_lr0.001_e30_d104
0.7502	0.01	60	156	0.7502_lr0.01_e60_d156
0.7504	0.001	60	78	0.7504_lr0.001_e60_d78
0.7512	0.01	20	104	0.7512_lr0.01_e20_d104
0.7512	0.001	70	78	0.7512_lr0.001_e70_d78
0.7516	0.001	80	104	0.7516_lr0.001_e80_d104
0.7518	0.01	30	104	0.7518_lr0.01_e30_d104
0.752	0.01	20	156	0.752_lr0.01_e20_d156
0.7522	0.01	80	182	0.7522_lr0.01_e80_d182
0.7522	0.001	30	78	0.7522_lr0.001_e30_d78
0.7524	0.001	40	78	0.7524_lr0.001_e40_d78
0.7526	0.001	20	78	0.7526_lr0.001_e20_d78
0.7528	0.001	30	182	0.7528_lr0.001_e30_d182
0.753	0.01	60	78	0.753_lr0.01_e60_d78
0.7534	0.01	50	52	0.7534_lr0.01_e50_d52
0.7538	0.01	10	104	0.7538_lr0.01_e10_d104
0.7538	0.001	20	182	0.7538_lr0.001_e20_d182
0.754	0.01	80	130	0.754_lr0.01_e80_d130
0.7546	0.01	20	26	0.7546_lr0.01_e20_d26
0.7548	0.001	30	156	0.7548_lr0.001_e30_d156
0.7552	0.01	70	26	0.7552_lr0.01_e70_d26
0.7552	0.001	60	130	0.7552_lr0.001_e60_d130
0.7552	0.001	70	130	0.7552_lr0.001_e70_d130
0.7554	0.01	60	104	0.7554_lr0.01_e60_d104
0.7556	0.01	80	26	0.7556_lr0.01_e80_d26
0.7562	0.01	70	104	0.7562_lr0.01_e70_d104
0.7566	0.001	20	156	0.7566_lr0.001_e20_d156
