1.334134074024445615e-02 ~50 
1.259883165631884953e-02
1.340616310590203933e-02
1.571325741465761858e-02 
1.874341547336065561e-02
3.199623230426667381e-02
3.303481602190765920e-01 <
2.367233022695382771e-01 <
1.904334530894536207e-02
9.139747536140944290e-03 
5.180807285881278666e-03
3.301053404808337432e-03
2.281999259653925798e-03 
1.562163403260318894e-03
1.125047818120338298e-03
8.147931131215993984e-04 
5.960676247606910274e-04
4.386172977565137051e-04
3.214096838985167418e-04 
2.416992605112442002e-04
1.799308713343232362e-04
1.369467881203439020e-04 
1.057096617424355069e-04
8.279635154335403594e-05
7.069192816333685621e-05 
8.070637549376433314e-05 ~8000

50-8000Hz
#filters = 24 (got 26 though)
