4.128589375235322545e-01 <
3.306461368862450567e-01 <
3.113510602451778631e-02
1.952727527836554608e-02
1.238649707509445995e-02
9.544190837860450430e-03
7.408002748549042532e-03
6.442217781886400325e-03
5.020345215133887110e-03
4.271557563482426129e-03
3.519578047219059161e-03
2.970091977038233529e-03
2.587369387939995619e-03
2.195654716961365719e-03
1.909823014673000174e-03
1.655818896532412852e-03
1.442956088457227450e-03
1.259545145872392660e-03
1.095077561303766343e-03
9.708386244923747138e-04
8.622130325168374416e-04
7.726483319553114574e-04
7.051793179927563727e-04
6.521529647789184574e-04
6.188990009454424122e-04
8.368136281006974828e-04

50-8000Hz
#filters = 24 (got 26 though)
