1.452338773036464376e-19
8.004701301931693133e-20
1.604453784419681198e-19
1.873851543065802628e-19
2.159621850765642090e-19
3.330949072144740979e-19
9.047180327229984045e-19
1.170602300659079452e-05
1.789627289808870279e-06
3.932588991458066063e-19
2.706564532388611555e-19
2.135068129020618360e-19
2.069501862308642769e-19
6.160859420822619267e-06
5.718241905357943013e-06
1.004760150538990694e-19
2.026979357808657491e-06
8.298277646656837880e-06
2.869612081313108673e-19
1.020099468582964879e-06
9.105377568074354924e-07
6.160143796315891358e-06
6.123232100356234172e-07
1.806311071809442170e-01 <
1.885234040785629395e-01 <
9.521387830416778662e-07

50-8000Hz
#filters = 24 (got 26 though)
