2.291928629549132849e-17
4.460231527448224598e-01 <
1.591458076066218086e-01 <
1.008117205669445463e-17
1.881260546242485754e-06
4.121196114335641586e-06
1.460540541494230907e-17
7.740931736127139437e-06
1.335850201726403467e-06
4.675813191486384397e-06
3.429459476291586020e-07
3.517171831539830574e-06
3.904712826916963786e-06
8.241161568535751412e-07
3.980709341017137766e-06
7.599866526922916706e-06
4.294573408035802841e-06
5.225869744855762211e-06
3.010928866596467623e-06
5.379585184735480996e-06
8.820392910567447891e-06
9.418022592641132025e-06
9.557584600595142945e-06
1.182376230543984996e-05
9.938271211464889016e-06
6.309280999776731851e-06

50-8000Hz
#filters = 24 (got 26 though)
