8.585860767008010783e-19 ~50 
1.895237938882823961e-06
6.762410662631592415e-07
4.721088382914337330e-07 
3.350305667878968571e-07
7.016689593249982219e-07
1.493923287284190021e-06 
3.641144764036573958e-07
9.409693986336307531e-07
2.376392171925866621e-06 
4.905990677029217422e-07
1.282547774726162701e-06
1.015212814103467338e-06 
1.220048059523779469e-06
1.481157033374783062e-06
2.482641960167188688e-01 <
1.535221489184152854e-01 <
2.773540943614307441e-06
3.742378631148033448e-06 
3.517340404677928966e-06
2.873009385849418101e-06
2.412026371680219970e-06 
4.106015142296831926e-06
4.010575071385611826e-06
3.130341540166606549e-06 
1.337530468036617203e-05 ~8000

50-8000Hz
#filters = 24 (got 26 though)
